Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,34,0,0,7.8292,False,True,False,True,False
1,3,47,1,0,7.0,True,False,False,False,True
0,2,55,0,0,9.6875,False,True,False,True,False
0,3,27,0,0,8.6625,False,True,False,False,True
1,3,22,1,0,12.2875,True,False,False,False,True
0,3,14,0,0,9.225,False,True,False,False,True
1,3,30,0,0,7.6292,True,False,False,True,False
0,2,26,1,0,29.0,False,True,False,False,True
1,3,18,0,0,7.2292,True,False,True,False,False
0,3,21,2,0,24.15,False,True,False,False,True
0,3,30,0,0,7.8958,False,True,False,False,True
0,1,46,0,0,26.0,False,True,False,False,True
1,1,23,1,0,66.9063,True,False,False,False,True
0,2,55,1,0,26.0,False,True,False,False,True
1,1,47,1,0,61.175,True,False,False,False,True
1,2,24,1,0,27.7208,True,False,True,False,False
0,2,35,0,0,12.35,False,True,False,True,False
0,3,21,0,0,7.225,False,True,True,False,False
1,3,27,1,0,7.925,True,False,False,False,True
1,3,45,0,0,7.225,True,False,True,False,False
0,1,55,1,0,59.4,False,True,True,False,False
0,3,9,0,0,3.1708,False,True,False,False,True
1,1,30,0,0,31.6833,True,False,False,False,True
0,1,21,0,0,61.3792,False,True,True,False,False
1,1,48,1,0,66.9063,True,False,True,False,False
0,3,50,1,0,14.5,False,True,False,False,True
1,1,22,0,0,61.9792,True,False,True,False,False
0,3,22,0,0,7.225,False,True,True,False,False
0,1,41,0,0,30.5,False,True,False,False,True
0,3,30,2,0,21.6792,False,True,True,False,False
0,2,50,1,0,26.0,False,True,False,False,True
0,2,24,2,0,31.5,False,True,False,False,True
1,3,33,1,0,20.575,True,False,False,False,True
1,3,30,1,0,23.45,True,False,False,False,True
0,1,30,1,0,57.75,False,True,True,False,False
0,3,18,0,0,7.2292,False,True,True,False,False
1,3,30,0,0,8.05,True,False,False,False,True
1,3,21,0,0,8.6625,True,False,False,False,True
0,3,25,0,0,9.5,False,True,False,False,True
0,3,30,0,0,56.4958,False,True,False,False,True
0,3,39,0,0,13.4167,False,True,True,False,False
0,1,30,0,0,26.55,False,True,False,False,True
0,3,41,0,0,7.85,False,True,False,False,True
1,2,30,0,0,13.0,True,False,False,False,True
1,1,45,1,0,52.5542,True,False,False,False,True
0,3,25,0,0,7.925,False,True,False,False,True
0,1,45,0,0,29.7,False,True,True,False,False
0,3,30,0,0,7.75,False,True,False,True,False
1,1,55,0,0,66.9063,True,False,True,False,False
1,3,36,0,0,15.9,True,False,False,False,True
0,1,24,1,0,60.0,False,True,False,False,True
0,2,27,0,0,15.0333,False,True,True,False,False
1,2,20,2,0,23.0,True,False,False,False,True
1,1,28,2,0,66.9063,True,False,False,False,True
0,2,30,0,0,15.5792,False,True,True,False,False
0,3,10,2,0,29.125,False,True,False,True,False
0,3,35,0,0,7.8958,False,True,False,False,True
0,3,25,0,0,7.65,False,True,False,False,True
0,3,30,1,0,16.1,False,True,False,False,True
1,1,36,0,0,66.9063,True,False,True,False,False
0,3,17,0,0,7.8958,False,True,False,False,True
0,2,32,0,0,13.5,False,True,False,False,True
0,3,18,0,0,7.75,False,True,False,False,True
1,3,22,0,0,7.725,True,False,False,True,False
0,1,13,2,0,66.9063,False,True,True,False,False
1,2,30,0,0,21.0,True,False,False,False,True
1,3,18,0,0,7.8792,True,False,False,True,False
0,1,47,0,0,42.4,False,True,False,False,True
0,1,31,0,0,28.5375,False,True,True,False,False
1,1,55,1,0,66.9063,True,False,False,False,True
1,3,24,0,0,7.75,True,False,False,True,False
0,3,21,0,0,7.8958,False,True,False,False,True
1,3,29,0,0,7.925,True,False,False,False,True
0,1,28,0,0,27.7208,False,True,True,False,False
1,1,35,0,0,66.9063,True,False,True,False,False
0,1,32,0,0,66.9063,False,True,True,False,False
0,3,30,0,0,8.05,False,True,False,False,True
1,1,55,2,0,25.7,True,False,False,False,True
0,2,30,0,0,13.0,False,True,False,False,True
1,3,24,0,0,7.75,True,False,False,True,False
0,3,6,1,0,15.2458,False,True,True,False,False
0,1,55,1,0,66.9063,False,True,False,False,True
0,1,49,0,0,26.0,False,True,False,False,True
0,3,30,0,0,7.8958,False,True,False,False,True
0,2,30,0,0,10.7083,False,True,False,True,False
0,3,30,1,0,14.4542,False,True,True,False,False
1,3,27,0,0,7.8792,True,False,False,True,False
1,3,18,0,0,8.05,True,False,False,False,True
1,3,30,0,0,7.75,True,False,False,True,False
0,2,4,1,0,23.0,False,True,False,False,True
1,3,22,1,0,13.9,True,False,False,False,True
0,3,30,0,0,7.775,False,True,False,False,True
1,1,27,1,0,52.0,True,False,False,False,True
0,3,30,0,0,8.05,False,True,False,False,True
0,1,25,0,0,26.0,False,True,True,False,False
0,3,25,0,0,7.7958,False,True,False,False,True
1,1,55,1,0,66.9063,True,False,False,False,True
0,3,29,0,0,7.925,False,True,False,False,True
1,3,20,0,0,7.8542,True,False,False,False,True
0,3,33,0,0,8.05,False,True,False,False,True
1,1,43,1,0,55.4417,True,False,True,False,False
0,2,27,1,0,26.0,False,True,False,False,True
0,3,30,0,0,7.75,False,True,False,True,False
0,3,26,0,0,7.775,False,True,False,False,True
1,3,16,1,0,8.5167,True,False,True,False,False
0,3,28,0,0,22.525,False,True,False,False,True
0,3,21,0,0,7.8208,False,True,False,True,False
0,3,30,0,0,7.75,False,True,False,True,False
0,3,30,0,0,8.7125,False,True,False,False,True
0,2,18,0,0,13.0,False,True,False,False,True
0,2,41,0,0,15.0458,False,True,True,False,False
1,3,30,0,0,7.7792,True,False,False,True,False
1,1,36,0,0,31.6792,True,False,True,False,False
1,3,18,0,0,7.2833,True,False,False,True,False
1,1,55,1,0,66.9063,True,False,False,False,True
0,3,18,1,0,14.4542,False,True,True,False,False
0,3,30,0,0,6.4375,False,True,True,False,False
1,3,4,1,0,16.7,True,False,False,False,True
0,1,36,0,0,66.9063,False,True,True,False,False
1,2,29,1,0,26.0,True,False,False,False,True
1,2,12,0,0,15.75,True,False,False,False,True
0,3,30,1,0,7.75,False,True,False,True,False
1,1,35,1,0,57.75,True,False,True,False,False
0,3,28,0,0,7.25,False,True,False,False,True
0,3,30,0,0,7.75,False,True,False,True,False
1,3,17,0,0,16.1,True,False,False,False,True
0,3,22,0,0,7.7958,False,True,False,False,True
1,3,30,2,0,23.25,True,False,False,True,False
0,2,42,0,0,13.0,False,True,False,False,True
0,3,24,0,0,8.05,False,True,False,False,True
0,3,32,0,0,8.05,False,True,False,False,True
0,1,53,0,0,28.5,False,True,True,False,False
1,3,30,0,0,25.4667,True,False,False,False,True
0,3,30,1,0,6.4375,False,True,True,False,False
0,3,43,0,0,7.8958,False,True,False,False,True
0,3,24,0,0,7.8542,False,True,False,False,True
0,3,26,0,0,7.225,False,True,True,False,False
0,2,26,0,0,13.0,False,True,False,False,True
1,3,23,0,0,8.05,True,False,False,False,True
0,3,40,1,0,46.9,False,True,False,False,True
1,3,10,2,0,46.9,True,False,False,False,True
1,1,33,0,0,66.9063,True,False,False,False,True
0,1,55,1,0,66.9063,False,True,True,False,False
0,2,28,0,0,26.0,False,True,False,False,True
0,1,42,0,0,26.55,False,True,False,False,True
0,3,31,2,0,18.0,False,True,False,False,True
0,1,30,0,0,51.8625,False,True,False,False,True
0,3,22,0,0,8.05,False,True,False,False,True
0,1,30,0,0,26.55,False,True,False,False,True
0,2,30,1,0,26.0,False,True,False,False,True
1,1,23,0,0,66.9063,True,False,True,False,False
0,3,30,0,0,7.8958,False,True,True,False,False
0,3,55,0,0,35.627188489208635,False,True,False,False,True
1,3,36,0,0,12.1833,True,False,False,False,True
0,3,13,2,0,31.3875,False,True,False,False,True
0,3,24,0,0,7.55,False,True,False,False,True
1,1,29,0,0,66.9063,True,False,False,False,True
1,3,23,0,0,7.8542,True,False,False,False,True
0,1,42,0,0,26.55,False,True,False,False,True
1,3,26,0,0,13.775,True,False,False,False,True
1,3,30,0,0,7.7333,True,False,False,True,False
0,3,7,1,0,15.2458,False,True,True,False,False
1,2,26,0,0,13.5,True,False,False,False,True
0,3,30,0,0,7.0,False,True,False,False,True
0,2,41,0,0,13.0,False,True,False,False,True
1,3,26,1,0,22.025,True,False,False,False,True
0,1,48,0,0,50.4958,False,True,True,False,False
0,3,18,2,0,34.375,False,True,False,False,True
1,1,30,0,0,27.7208,True,False,True,False,False
1,3,22,0,0,8.9625,True,False,False,False,True
0,3,30,0,0,7.55,False,True,False,False,True
0,3,27,0,0,7.225,False,True,True,False,False
0,3,23,1,0,13.9,False,True,False,False,True
0,3,30,0,0,7.2292,False,True,True,False,False
0,3,40,1,0,31.3875,False,True,False,False,True
1,2,15,0,0,39.0,True,False,False,False,True
1,2,20,0,0,36.75,True,False,False,False,True
0,1,54,1,0,55.4417,False,True,True,False,False
1,2,36,0,0,39.0,True,False,False,False,True
1,1,55,0,0,66.9063,True,False,True,False,False
0,2,30,0,0,13.0,False,True,False,False,True
0,1,37,1,0,66.9063,False,True,True,False,False
1,1,18,1,0,53.1,True,False,False,False,True
0,3,30,0,0,7.75,False,True,False,True,False
1,1,27,1,0,66.9063,True,False,True,False,False
0,2,40,0,0,16.0,False,True,False,False,True
1,2,21,0,0,21.0,True,False,False,False,True
0,3,17,2,0,8.05,False,True,False,False,True
1,3,30,2,0,66.9063,True,False,False,False,True
0,2,40,0,0,13.0,False,True,False,False,True
0,2,34,1,0,26.0,False,True,False,False,True
0,1,30,0,0,26.0,False,True,False,False,True
0,3,12,1,0,14.5,False,True,False,False,True
0,2,55,0,0,12.35,False,True,False,True,False
0,2,8,0,0,32.5,False,True,False,False,True
0,3,33,0,0,7.8542,False,True,False,False,True
0,1,6,0,0,66.9063,False,True,True,False,False
1,3,18,0,0,7.775,True,False,False,False,True
0,2,23,0,0,10.5,False,True,False,False,True
1,3,30,0,0,8.1125,True,False,False,False,True
1,3,30,0,0,15.5,True,False,False,True,False
0,3,4,0,0,14.4,False,True,False,False,True
0,1,47,1,0,66.9063,False,True,True,False,False
1,2,8,1,0,26.0,True,False,False,False,True
0,2,25,0,0,10.5,False,True,False,False,True
0,1,30,0,0,25.7417,False,True,True,False,False
1,3,35,0,0,7.75,True,False,False,True,False
0,2,24,0,0,10.5,False,True,False,False,True
1,1,33,0,0,27.7208,True,False,True,False,False
0,3,25,0,0,7.8958,False,True,False,False,True
0,3,32,0,0,22.525,False,True,False,False,True
0,3,30,0,0,7.05,False,True,False,False,True
0,2,17,0,0,66.9063,False,True,False,False,True
1,2,55,1,0,26.0,True,False,False,False,True
1,3,38,2,0,7.775,True,False,False,False,True
0,1,42,0,0,42.5,False,True,False,False,True
1,3,30,0,0,7.8792,True,False,False,True,False
0,1,55,1,0,66.9063,False,True,False,False,True
1,1,50,1,0,66.9063,True,False,True,False,False
0,3,30,0,0,8.05,False,True,False,False,True
1,2,30,1,0,13.8583,True,False,True,False,False
0,3,21,0,0,8.05,False,True,False,False,True
1,2,22,0,0,10.5,True,False,False,False,True
0,3,21,0,0,7.7958,False,True,False,False,True
1,1,53,0,0,27.4458,True,False,True,False,False
1,3,30,0,0,15.2458,True,False,True,False,False
0,3,23,0,0,7.7958,False,True,False,False,True
1,3,30,0,0,7.75,True,False,False,True,False
0,3,40,0,0,15.1,False,True,False,False,True
0,2,36,0,0,13.0,False,True,False,False,True
0,2,14,0,0,65.0,False,True,False,False,True
1,1,21,0,0,26.55,True,False,False,False,True
0,3,21,1,0,6.4958,False,True,False,False,True
0,3,30,0,0,7.8792,False,True,False,True,False
0,1,39,1,0,66.9063,False,True,True,False,False
0,3,20,0,0,7.8542,False,True,False,False,True
0,1,55,1,0,66.9063,False,True,True,False,False
0,3,20,0,0,7.225,False,True,True,False,False
1,2,18,1,0,13.0,True,False,False,False,True
1,1,48,1,0,66.9063,True,False,True,False,False
1,1,55,0,0,27.7208,True,False,True,False,False
1,2,45,0,0,30.0,True,False,False,False,True
0,1,45,1,0,66.9063,False,True,True,False,False
0,3,30,0,0,7.8875,False,True,False,False,True
0,3,30,1,0,23.45,False,True,False,False,True
0,1,41,1,0,51.8625,False,True,False,False,True
1,2,22,0,0,21.0,True,False,False,False,True
0,2,42,1,0,32.5,False,True,False,False,True
1,2,29,1,0,26.0,True,False,False,False,True
1,3,30,1,0,14.4542,True,False,True,False,False
1,2,4,1,0,27.75,True,False,False,False,True
0,3,20,0,0,7.925,False,True,False,False,True
0,1,27,1,0,66.9063,False,True,True,False,False
0,3,24,0,0,9.325,False,True,False,False,True
0,3,32,0,0,9.5,False,True,False,False,True
0,3,30,0,0,7.55,False,True,False,False,True
0,3,30,0,0,7.75,False,True,False,True,False
0,3,28,0,0,8.05,False,True,False,False,True
1,2,19,0,0,13.0,True,False,False,False,True
0,3,21,0,0,7.775,False,True,False,False,True
0,3,36,1,0,17.4,False,True,False,False,True
0,3,21,0,0,7.8542,False,True,False,False,True
1,2,29,0,0,23.0,True,False,False,False,True
1,3,4,1,0,12.1833,True,False,False,False,True
0,2,30,0,0,12.7375,False,True,True,False,False
0,3,30,0,0,7.8958,False,True,False,False,True
0,1,30,0,0,0.0,False,True,False,False,True
0,3,30,0,0,7.55,False,True,False,False,True
1,3,30,0,0,8.05,True,False,False,False,True
0,3,17,0,0,8.6625,False,True,False,False,True
0,1,46,0,0,66.9063,False,True,True,False,False
0,3,30,0,0,7.75,False,True,False,True,False
1,1,26,1,0,66.9063,True,False,True,False,False
1,3,30,1,0,15.5,True,False,False,True,False
0,3,30,0,0,7.225,False,True,True,False,False
1,2,20,1,0,26.0,True,False,False,False,True
0,2,28,0,0,10.5,False,True,False,False,True
0,2,40,1,0,26.0,False,True,False,False,True
0,2,30,1,0,21.0,False,True,False,False,True
0,2,22,0,0,10.5,False,True,False,False,True
1,3,23,0,0,8.6625,True,False,False,False,True
0,3,4,1,0,13.775,False,True,False,False,True
1,3,30,0,0,7.75,True,False,False,True,False
1,3,9,1,0,15.2458,True,False,True,False,False
1,3,4,1,0,20.2125,True,False,False,False,True
0,3,36,0,0,7.25,False,True,False,False,True
0,3,30,0,0,7.25,False,True,False,False,True
0,1,24,1,0,66.9063,False,True,False,False,True
0,3,30,0,0,7.2292,False,True,True,False,False
0,3,30,0,0,8.05,False,True,False,False,True
0,1,30,0,0,39.6,False,True,False,False,True
1,3,30,0,0,6.95,True,False,False,True,False
0,3,30,0,0,7.2292,False,True,True,False,False
0,1,53,1,0,66.9063,False,True,False,False,True
0,3,36,0,0,9.5,False,True,False,False,True
0,3,26,0,0,7.8958,False,True,False,False,True
1,2,4,1,0,41.5792,True,False,True,False,False
0,3,30,2,0,21.6792,False,True,True,False,False
0,1,30,0,0,45.5,False,True,False,False,True
0,3,29,0,0,7.8542,False,True,False,False,True
0,3,32,0,0,7.775,False,True,False,False,True
0,2,30,0,0,15.0458,False,True,True,False,False
0,2,43,0,0,21.0,False,True,False,False,True
0,3,24,0,0,8.6625,False,True,False,False,True
1,3,30,0,0,7.75,True,False,False,True,False
1,1,55,1,0,26.55,True,False,False,False,True
0,1,30,1,0,66.9063,False,True,False,False,True
0,3,4,0,0,9.35,False,True,False,False,True
0,1,55,1,0,66.9063,False,True,False,False,True
1,3,45,1,0,14.1083,True,False,False,False,True
0,3,18,0,0,8.6625,False,True,False,False,True
0,3,22,0,0,7.225,False,True,True,False,False
0,3,30,0,0,7.575,False,True,False,False,True
1,3,37,0,0,7.75,True,False,False,True,False
1,1,55,0,0,66.9063,True,False,True,False,False
1,3,17,0,0,7.7333,True,False,False,True,False
0,1,55,1,0,66.9063,False,True,True,False,False
0,2,19,0,0,10.5,False,True,False,False,True
0,3,27,0,0,7.8542,False,True,False,False,True
0,2,22,2,0,31.5,False,True,False,False,True
0,3,26,0,0,7.775,False,True,False,False,True
0,3,25,0,0,7.2292,False,True,True,False,False
0,2,26,0,0,13.0,False,True,False,False,True
0,1,33,0,0,26.55,False,True,False,False,True
1,1,39,0,0,66.9063,True,False,False,False,True
